,artist_name,duration,key,song_hotttnesss,tempo,time_signature,year
37,b'Despina Vandi',303.09832,8,,128.292,4,0
38,b'Javier Navarrete',128.83546,3,0.3943948561005826,90.932,3,0
39,b'Jacob Young',456.30649,1,0.0,89.667,4,0
40,"b""Scarlet's Remains""",198.73914,7,0.450992311636255,115.061,4,2007
41,b'The Suicide Machines',95.68608,2,0.5287824809425877,115.887,4,2003
42,b'The Rolling Stones',271.49016,9,0.8344926198909054,139.333,1,0
43,b'Roberto Torres',226.66404,0,0.0,117.271,4,0
44,b'Loudon Wainwright III',190.48444,3,0.5101193140330347,102.428,4,1995
45,b'R.L. Burnside',277.78567,2,0.48213758506501503,89.984,4,2004
46,b'Stevie Ray Vaughan',248.78975,1,,116.721,4,1992
47,b'John Hammond',195.3171,7,,123.142,4,2002
48,b'Casiotone For The Painfully Alone',175.72526,0,0.7858922883883538,141.919,4,2006
49,b'Ec8or',217.23383,10,,95.596,4,1995
50,b'The New York Dolls',344.05832,11,0.5616924111789523,154.953,1,1974
51,b'Eliane Elias',251.42812,7,0.4348380902608562,86.091,5,2009
52,b'Lost Boyz',269.7922,7,0.4051157216913865,90.218,4,1997
53,b'The Germs',206.05342,11,,133.144,1,1977
54,b'Yamandu Costa',190.04036,2,,205.317,4,0
55,b'Chris Rea',241.162,9,0.767727748373397,180.149,4,1986
56,b'Perrey And Kingsley',122.64444,0,0.4348380902608562,102.538,4,1966
57,b'Eurythmics',207.0722,0,0.38293509007501925,84.164,4,1985
58,b'Francis Dunnery',300.79955,7,0.6104742577715245,124.175,4,1995
59,b'John Cale',228.46649,7,0.2265553139555314,137.004,1,1997
60,b'Suzanne Ciani',239.59465,7,0.4159831182884585,106.33,4,0
61,b'Vickie Winans',228.93669,11,,107.961,4,0
62,b'The Berzerker',165.61587,1,0.0,174.287,3,2000
63,b'Kings Of Leon',187.92444,0,0.6859402266976852,116.823,4,2003
64,b'Edith Lefel',276.50567,0,0.0,101.972,4,0
65,b'Taras',200.25424,11,,127.97,4,0
66,b'NOFX',144.50893,4,0.6712360269845353,152.622,4,1992
67,b'Murskahumppa',285.17832,7,,110.787,3,0
68,b'Soda Stereo',246.69995,7,0.6261657596688281,112.903,4,1990
69,b'Bruce Rowland',84.03546,7,0.0,115.642,4,1985
70,b'Xcultures',273.52771,1,0.1992382620006783,125.013,4,2000
71,b'White Heart',298.84036,5,0.26586104921065007,113.277,4,0
72,b'Heavy D / McGruff',161.38404,5,0.23773394162247466,96.979,4,1997
73,b'Van Halen',209.29261,8,0.8244821296824321,140.995,1,0
74,b'Black Eyed Peas',229.61587,11,0.6244254932707666,105.206,4,2004
75,b'Nine Inch Nails',426.89261,0,0.6355366486226686,63.017,4,2000
76,b'Nick Cave & The Bad Seeds',269.26975,9,,144.603,4,0
77,b'Nadine Renee',249.41669,2,0.19878534876524423,167.92,4,0
78,b'Lesley Gore',136.48934,9,,129.122,1,1963
79,b'Smartbomb',233.27302,0,0.0,132.022,4,2001
80,b'Suburbs',187.24526,1,0.24906579485370342,183.92,1,2005
81,b'Emperor',72.61995,9,,89.867,4,0
82,b'Julien Clerc',272.63955,2,,119.896,5,0
83,b'Glen Campbell',142.75873,1,,137.29,4,0
84,b'T.G. Sheppard',194.11546,5,0.3827232807891977,82.343,1,2002
85,b'Slim Whitman',195.91791,3,,91.487,4,1990
86,b'Savage Garden',118.33424,9,,84.69,5,1999
87,b'Queens Of The Stone Age',288.41751,2,0.7251212835673101,115.606,4,2005
88,b'Hank Penny & The Lincoln Penny Orchestra',123.21914,7,,126.523,1,0
89,b'Inspiral Carpets',283.76771,2,0.6651722407621973,113.677,4,1990
90,b'Borialis',239.3073,2,0.5546547674656118,86.938,4,0
91,b'The Dirty Skirts',206.75873,0,0.30416950343527516,141.936,4,0
92,b'Flor Silvestre',134.81751,11,,106.049,1,0
93,b'B\xc3\xa9zu',285.64853,8,,126.88,4,0
94,b'Redman',124.18567,1,0.5701059300583878,85.008,5,2001
95,b'Solistiyhtye Suomi',134.08608,4,,133.699,1,0
96,b'Eddie Cantor',155.61098,11,,118.975,1,0
97,b'Schizoid',275.40853,9,,102.408,4,0
98,b'Kai Winding',223.4771,0,0.0,112.006,4,1961
99,b'Sonny Simmons',443.24526,1,0.2707759989463275,45.527,4,0
100,b'Mira',177.81506,4,,85.621,4,2006
101,b'Citizen Kaned',385.33179,8,,108.061,4,2000
102,b'The Brooklyn Tabernacle Choir',324.44036,7,0.4051157216913865,216.195,5,1995
103,b'Ellen McIlwaine',275.12118,7,0.24274187894946822,132.428,4,0
104,b'Vince Guaraldi / Bola Sete',294.66077,5,0.3867901771390143,168.307,4,0
105,b'Maurice Chevalier',193.20118,0,,140.956,7,0
106,b'Carl Cox Vs Yousef',357.82485,1,0.5112548351002428,130.016,5,1991
107,b'Organized Konfusion',198.3473,11,0.46048484498641545,175.769,4,1997
108,b'Martina McBride',261.95546,7,0.48828987603734525,100.194,3,2005
109,b'Horace Andy',176.27383,2,,151.911,4,1985
110,b'Nazz',220.89098,9,,119.691,4,0
111,b'Tyrone Davis',235.91138,10,,161.976,4,0
112,b'Hot Tuna',239.59465,0,,172.398,1,1971
113,b'Richard Burton',171.49342,2,0.0,109.823,3,0
114,b'Rory Block',266.05669,1,0.0,90.101,1,0
115,b'Boyz II Men',329.27302,8,0.34580223396532944,116.473,4,1994
116,b'Howard Armstrong',198.922,9,0.3335548072764493,126.821,4,0
117,b'Donny Hathaway',283.21914,2,0.6173656175717818,111.191,3,1971
118,b'Miguel Gallardo',238.68036,5,,125.508,4,0
119,b'Les Ogres De Barback',254.06649,4,0.3943948561005826,137.888,1,1999
120,b'DJ X-Change featuring DJ Joey A',184.31955,6,,150.012,4,0
121,b'Morel',311.40526,10,,108.367,4,0
122,b'Tony Joe White',162.53342,2,0.3747968370214053,173.482,4,0
123,b'Wolfmother',212.37506,4,,110.745,4,2009
124,b'The Roches',338.33751,2,0.26586104921065007,130.027,4,1995
125,b'Bob Margolin',126.51057,11,0.23379647424179947,110.168,4,0
126,b'Thomas Battenstein',205.58322,9,,97.976,3,0
127,b'Jupiter Rising',193.4624,0,0.21508031850922793,119.979,4,2007
128,b'Dharma Bums',127.4771,6,,156.968,1,0
129,b'Saafir',234.762,5,,188.886,4,1999
130,b'The Verve Pipe',292.8322,9,0.46630483075728635,133.306,4,2001
131,b'Bob Neuwirth',241.10975,4,0.48061061838775304,152.267,3,1990
132,b'Marvin Sapp',270.68036,1,0.2656833797102308,166.275,4,0
133,b'James Hunter',188.73424,2,,114.971,4,0
134,b'Nelson Ned',211.80036,9,,144.651,4,0
135,b'Mish Mash',254.32771,2,,152.005,1,0
136,b'Cama',210.36363,1,,155.074,1,2009
137,b'Maxi Priest',301.81832,10,0.34580223396532944,61.971,1,1991
138,b'Porcupine Tree',416.80934,6,0.8251735403780842,124.04,5,1997
139,b'Ragheb Alama',413.36118,7,0.0,191.196,4,0
140,b'Foo Fighters',117.002,7,,152.127,4,2005
141,b'Shakira Featuring Wyclef Jean',217.36444,10,0.7373853102276186,100.023,4,0
142,b'The Avengers',122.72281,10,,192.688,4,0
143,b'Robben Ford',203.98975,11,0.47212111953959446,154.322,4,1988
144,b'Brazilian Tropical Orchestra',192.44363,5,0.0,236.006,4,0
145,b'Gil Semedo',285.36118,11,0.39200877147130697,150.666,5,0
146,b'Soda Stereo',225.12281,11,,175.421,1,1984
147,b'Xmilk',123.66322,9,,104.153,4,0
148,b'Dolce; Oscar G.',525.16526,11,,127.278,4,0
149,b'Britt Nicole',204.06812,6,0.2364201822307364,160.165,4,0
150,b'Schizoid',166.00771,5,,86.091,3,0
151,b'Toni Braxton Featuring Shaggy',219.01016,0,,149.94,4,2001
152,b'Perrey And Kingsley',127.9473,0,0.4444017145228514,135.78,4,2001
153,b'Sven Tasnadi',570.90567,7,,122.967,4,0
154,b'Eddie',230.00771,9,,142.024,4,0
155,b'Enthroned',240.74404,2,0.5430528641992896,135.535,7,2010
156,b'Suzanne Ciani',192.20853,2,0.6085000789194116,139.189,3,1989
157,b'Milan Band',152.0322,8,,128.598,5,0
158,b'Johnny Osbourne',215.30077,3,0.0,163.445,4,2004
159,b'Dolly Parton',155.21914,7,,114.027,3,1971
160,b'Rance Allen Group',207.12444,7,,111.316,1,0
161,b'Pearl Jam',428.56444,4,0.6593046691644056,105.994,3,2006
162,b'Natalie Cole',185.7824,8,,88.489,1,0
163,b'Mastodon',654.28853,7,0.6266128026956008,118.433,4,2009
164,b'Kiril Valeri',306.72934,11,0.2707759989463275,96.007,4,0
165,b'Word',229.51138,9,,187.807,4,0
166,b'DJ Quik',205.58322,7,,181.115,4,1991
167,b'Hank Locklin',127.05914,2,0.4944895175021134,148.357,4,0
168,b'BT',44.35546,1,0.30416950343527516,136.164,4,0
169,b'2-4 Grooves feat. Reki D.',203.83302,4,,126.941,4,2009
170,b'The Jordanaires',176.50893,5,,159.582,3,0
171,b'Descendents',140.66893,6,0.5194485814940588,89.495,4,1986
172,b'L.A. Guns',201.09016,5,,102.259,3,1988
173,b'Bare Jr.',254.79791,10,0.0,107.529,3,1998
174,b'Shelley Fabares',143.0722,0,0.0,99.408,4,0
175,b'Norrie Paramor',163.49995,9,0.0,79.731,4,0
176,b'Gary Hobbs',289.64526,0,0.0,188.502,1,0
177,b'Diesel Boy',124.15955,11,0.40565219615969267,133.729,1,1998
178,b'Angelo Badalamenti',167.3922,4,0.4454545254934259,139.136,4,0
179,b'Cradle Of Filth',321.35791,2,,193.693,4,1994
180,b'Jim Chappell',263.94077,0,,76.693,4,0
181,b'Ladybug',341.36771,10,,126.95,4,0
182,b'Bandido',333.13914,6,,144.812,1,0
183,b'Brixx',349.12608,11,,138.003,4,0
184,b'Nine Inch Nails',168.56771,7,,130.284,4,1999
185,b'Susana Seivane',350.71955,10,0.0,152.013,4,2010
186,b'Leland Martin',175.62077,4,,159.968,4,0
187,b'Test Icicles',190.24934,4,0.5430528641992896,75.031,4,2005
188,b'Heaven 17',255.16363,7,,150.837,4,1981
189,b'React',120.2673,10,,143.231,1,0
190,b'Sven Tasnadi',557.26975,11,,123.993,4,0
191,b'Mance Lipscomb',187.53261,11,0.3509795063714294,97.981,1,2000
192,b'Scott Wesley Brown',295.60118,2,,137.288,4,0
193,b'Fl\xc3\xa1vio Jos\xc3\xa9',252.02893,3,0.0,168.323,4,0
194,b'Moss',329.35138,2,0.5708506420788445,111.079,4,2009
195,b'Pery Ribeiro',180.00934,0,0.0,133.009,4,0
196,b'Soular',244.45342,6,0.23584620327944406,146.577,5,0
197,b'Dimmu Borgir',282.53995,6,,140.458,3,1996
198,b'Public Image Ltd',388.28363,0,0.263969820176701,132.506,4,1983
199,b'Gary Moore',345.93914,2,0.4471357962861778,153.862,4,1997
200,b'Pascal Sangla',243.1473,9,0.0,93.238,4,2010
201,"b""The B-52's""",261.74649,0,0.7140465527721864,124.086,4,1986
202,b'Dakis',172.25098,2,,66.765,1,0
203,b'Sex Pistols',216.60689,9,0.4137398358601097,145.518,4,1988
204,b'Chris Brown',363.59791,1,,139.998,4,0
205,b'Deekline & Wizard',271.77751,0,0.319565986882865,90.648,3,2004
206,b'Daniela Dess\xc3\xac',330.65751,2,,140.334,4,0
207,b'Hem',133.27628,5,0.3603705827121406,89.86,1,2005
208,b'Lily Allen',264.69832,9,0.5669884440404037,156.097,4,2006
209,b'Pentangle',228.51873,5,,179.501,1,0
210,b'DJ Dips',240.3522,1,,86.689,3,0
211,b'Ana Bekuta',145.57995,0,,160.261,5,0
212,b'Jason Miles',235.80689,10,0.2538347361322313,101.03,4,0
213,b'Busdriver',192.1824,6,0.5194030457366698,155.038,4,2007
214,b'Byther Smith',418.87302,1,0.4373517613872757,117.168,3,1989
215,b'Bebo & Cigala',198.26893,2,0.6765489056009939,132.967,1,2003
216,b'Bizarre Inc',420.10077,11,,139.91,4,1996
217,b'Bongzilla',397.26975,9,0.46054128135865785,95.882,4,1999
218,b'The Gone Jackals',229.79873,4,0.4952936212921635,135.175,3,1995
219,b'The Willis Brothers',150.64771,7,,121.983,3,0
220,b'Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd',286.14485,9,,169.775,3,0
221,b'S.U.P',384.70485,11,,137.862,4,2001
222,b'Boogie Pimps',415.03302,1,0.0,83.326,3,0
223,b'Brian Keane',133.53751,4,,117.667,3,0
224,b'Aberdeen',266.70975,9,,90.908,3,0
225,b'The Killers',284.3424,4,,151.953,4,2008
226,b'Gloriana',179.06893,0,0.0,161.054,4,0
227,b'Butterfly Temple',100.5971,8,,159.895,5,0
228,b'Grant Geissman',320.60036,9,0.0,128.219,4,0
229,b'20/20',302.36689,6,0.0,101.229,4,0
230,b'Jos\xc3\xa9 Augusto',284.70812,0,,98.859,4,0
231,b'Orbital',327.8624,0,0.6885218441194627,125.975,4,2001
232,b'Bone Thugs-N-Harmony / Akon',286.30159,1,0.5578803889070679,154.09,4,2007
233,b'Moonsorrow',356.49261,9,,124.237,4,2001
234,b'N.W.A.',168.75057,9,0.0,97.099,4,1989
235,b'Rage Against The Machine',201.56036,9,,140.63,1,2000
236,b'Jazz Gillum',185.67791,0,,101.41,1,0
237,b'Rise Against',218.8273,4,0.696469436584313,186.254,4,2003
238,b'Ultraviolence',303.04608,1,0.21508031850922793,210.47,4,1995
239,b'Korn',224.522,7,,94.057,4,1999
240,b'Sir Neville Marriner',315.27138,4,,100.349,1,0
241,b'Agnes',275.06893,7,,124.009,4,0
242,b'James Horner',191.81669,9,0.5452302938983613,90.084,1,1986
243,b'Tantric',177.24036,2,0.4471357962861778,106.698,1,2009
244,b'Mastodon',233.58649,2,0.7841946159560662,89.78,4,2001
245,b'Xcultures',38.3473,9,0.21425344896156936,107.177,7,2000
246,b'The Irish Tenors',100.85832,10,0.0,152.258,4,0
247,b'U2',485.19791,3,,134.083,4,2007
248,b'Little Joe',239.01995,5,,106.398,3,0
249,b'Korn',288.49587,10,,160.022,3,2007
250,b'Blind Blake & The Royal Victoria Hotel Calypsos',151.53587,7,0.0,101.492,4,0
251,b'Percy Faith',160.28689,0,,86.141,4,0
252,b'Extreme',181.55057,1,0.6217655825179751,120.097,4,0
253,b'Alexandre Desplat',70.26893,7,,128.173,4,2004
254,b'Prozak',173.24363,8,0.6068163271702843,88.835,4,0
255,b'Jerry Butler',155.74159,2,0.0,105.24,4,0
256,b'Yvette Horner',148.03546,7,,162.385,1,0
257,b'Delta 9',94.06649,2,,109.636,5,0
258,b'Placebo',241.52771,10,0.8737024949104306,108.264,4,2003
259,b'Tam Tam Go!',226.82077,9,,119.524,4,0
260,b'Gertrudis',106.52689,9,0.3231121208952123,97.76,4,2009
261,b'Warrior King',224.28689,10,0.5375039041917102,241.877,4,2002
262,b'Soda Stereo',340.29669,7,0.5473248320344863,91.328,4,1988
263,b'LORE',216.55465,8,0.4943573242520118,130.062,4,0
264,b'Soul Asylum',279.2224,11,0.3603705827121406,68.734,4,1998
265,b'Carl Doy with NZSO',158.56281,2,0.0,94.658,3,0
266,b'Horace Andy',234.44853,10,0.34580223396532944,102.055,1,2005
267,b'Jimmy Wakely',155.95057,2,0.46264318259167037,109.065,1,2001
268,b'The Nightraver & The Magican',233.53424,6,0.0,184.981,4,0
269,b'Rah Digga (Featuring Outsidaz)',256.80934,7,0.4051157216913865,201.802,3,2000
270,b'RUN-DMC',234.65751,1,,119.67,4,1984
271,b'Bert Kaempfert And His Orchestra',163.76118,0,,105.181,1,0
272,b'Hank Locklin',159.03302,9,0.0,165.668,3,0
273,b'Lady May',214.04689,1,,188.056,3,0
274,b'Nightwish',301.06077,3,,143.97,4,2007
275,b'Angelo Badalamenti',109.37424,6,0.6153722556990726,61.883,1,1987
276,b'Frank Chacksfield',151.82322,7,,0.0,1,0
277,b'Cesar Camargo Mariano/Helio Delmiro',287.11138,9,,163.167,4,0
278,b'Buzzhorn',239.98649,9,0.1938578025491923,144.836,3,2002
279,b'Silverstein',229.642,2,0.6586239272874229,108.499,4,2005
280,b'!!!',143.98649,11,0.0,193.978,4,2007
281,b'The Secret Life of Teenage Girls',153.20771,0,0.19473522935003107,88.935,4,0
282,b'The Notorious B.I.G.',316.65587,4,0.2742817042441851,91.69,4,2007
283,b'Led Zeppelin',182.09914,1,0.3127699195304257,210.8,7,1982
284,b'Sandi Thom',205.21751,4,0.41967427880955327,82.205,4,2008
285,b'Carl Belew',131.05587,4,,121.563,1,0
286,b'The Field Mice',316.73424,3,0.5316127691991754,162.682,4,1989
287,b'Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas',431.64689,11,,106.219,1,0
288,b'Catherine Howe',183.37914,4,0.0,172.337,4,0
289,b'Malkit Singh',324.51873,5,,210.305,4,1993
290,b'Rodney O & Joe Cooley',172.01587,1,0.0,175.393,4,1991
291,b'Dean Martin',165.66812,0,,128.459,5,2005
292,b'Strata',377.67791,2,0.0,109.671,5,2004
293,b'James Darren',145.00526,5,,141.024,4,0
294,b'Till West & DJ Delicious',153.28608,1,0.7215726608393865,125.558,4,2006
295,b'Carlos Nu\xc3\xb1ez',215.35302,9,,211.327,3,2005
296,b'Igor Stravinsky',156.70812,11,,147.637,4,0
297,b'Gene Clark',168.38485,9,,98.49,1,1998
298,b'Maysa',150.25587,10,,137.673,7,0
299,b'The Shirelles',159.76444,0,,68.283,4,1960
300,b'The American Boychoir',230.26893,2,,0.0,1,0
301,b'JDS',465.60608,1,0.582918458497712,134.014,4,0
302,b'Panic At The Disco',247.77098,5,0.3522322250053423,85.157,4,0
303,b'Jan Howard',165.98159,1,0.2740735781033903,86.162,4,0
304,b'Abraham Laboriel',368.16934,11,0.319565986882865,93.106,4,1995
305,b'Mich\xc3\xa8le Arnaud',176.27383,3,,49.262,4,0
306,b'Sticky Fingaz',266.4224,6,0.6362872244273321,80.149,4,2000
307,b'Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge',111.0722,6,,82.422,4,0
308,b'The Jeff Healey Band',313.7824,7,,107.197,3,1989
309,b'Angela Dimitriou',265.37751,9,,124.177,4,0
310,b'Danny Wilson',167.20934,7,,196.034,4,1989
311,b'Lionel Rogg',240.61342,0,,64.401,4,0
312,b'Java',356.41424,1,,130.861,4,0
313,b'SWAMI featuring Asuivre',260.28363,10,,90.008,4,2007
314,b'The Black Velvet Band',256.39138,9,,122.174,4,0
315,b'Lisa Lynne',316.49914,2,0.7613032180894456,95.981,4,1999
316,"b""Pe'z""",252.57751,0,,75.955,5,0
317,b'Shawn Colvin',224.60036,8,0.42512465831305757,210.871,4,1989
318,b'Stephy Tang',214.12526,4,,105.196,1,0
319,b'Casual',259.44771,4,0.0,106.689,1,0
320,b'Backstreet Boys',236.25098,0,,112.787,4,1999
321,b'Tiny Tim',43.36281,6,0.0,93.779,3,2000
322,b'Kenny G featuring Daryl Hall',236.93016,0,,89.865,4,0
323,b'Christos Dantis',243.82649,5,,133.339,4,0
324,b'David Martin',241.47546,0,0.0,98.718,4,0
325,b'John Davis',183.17016,5,,74.072,1,0
326,b'Trafik',424.12363,8,,130.006,4,0
327,b'Nick Ingman;Gavyn Wright',111.62077,4,,104.394,3,0
328,b'Eddie Calvert',138.63138,4,0.0,159.587,1,0
329,b'Glad',270.602,2,0.4733465411087876,192.702,5,1993
330,b'Steel Rain',173.19138,3,,98.11,4,0
331,b'Los Manolos',218.38322,7,0.40044346624428967,118.595,4,0
332,b'Gloriana',153.33832,2,,143.601,1,0
333,b'Bombay Rockers',230.71302,4,,81.319,3,0
334,b'Jinx',407.37914,6,0.0,89.345,5,0
335,b'Chase & Status',337.68444,4,0.39200877147130697,174.993,4,2005
336,b'Tom Petty',236.17261,9,,129.122,4,1994
337,b'Montserrat Caball\xc3\xa9;Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti',511.16363,8,,86.666,3,0
338,b'Pucho & His Latin Soul Brothers',338.23302,8,,231.867,4,0
339,b'Soul Mekanik',45.66159,5,,190.698,4,0
340,b'Mitch Ryder',207.43791,9,0.4191258929591558,97.538,4,2004
341,b'Blingtones',29.54404,6,,95.225,3,0
342,b'Luna Orbit Project',335.51628,5,,139.993,4,0
343,b'Danilo Perez',197.19791,7,0.2538347361322313,159.233,1,2003
344,b'Line Renaud',152.92036,1,,124.75,3,0
345,b'King Curtis',326.00771,0,0.6624931608196217,100.415,4,0
346,b'Sophie B. Hawkins',305.162,9,0.5996603576264808,105.003,4,1994
347,b'Lupe Fiasco',279.97995,7,0.8888135378942498,110.218,4,0
348,b'Wilks',261.51138,10,,88.973,4,0
349,b'Marc Shaiman',149.86404,4,,134.566,4,2008
350,b'40 Grit',75.67628,11,0.42744657148843085,186.882,3,2003
351,b'Gwen Stefani',290.55955,1,0.6846130855406626,113.995,4,2004
352,b'Steve Morse',363.85914,4,0.6406840303493887,90.199,1,2000
353,b'Bitter End',282.43546,10,0.3347065490692206,111.032,3,0
354,b'Ethel Merman',135.31383,0,,124.184,1,0
355,b'Leon Russell & New Grass Revival',221.30893,5,,157.746,1,0
356,b'Story Of The Year',75.57179,6,0.21508031850922793,100.032,4,2005
357,b'Natural Elements',338.1024,1,0.40148671142756037,185.88,4,1998
358,b'Lisa Lynne',298.10893,0,0.6738755724404429,94.031,5,1998
359,b'Neil Sedaka',170.84036,4,,76.013,3,1999
360,b'Maurice Larcange',215.37914,1,,133.553,4,0
361,b'A Static Lullaby',213.49832,2,0.5902527150384457,202.233,4,2008
362,b'John Wesley_ John Wesley',351.08526,7,0.4287022625232594,133.405,5,0
363,b'Coph Nia',658.02404,5,,116.819,3,2000
364,b'Tabu feat. Mitzib',474.61832,11,,127.887,4,0
365,b'Nights Like These',305.89342,5,0.3347065490692206,124.872,1,2006
366,b'Oasis',301.92281,0,,136.948,4,0
367,b'John Davis & Emma Doyle',135.52281,0,0.0,169.878,4,0
368,b'Stew',179.9571,7,,100.621,1,2003
369,b'Jauida',269.76608,7,0.0,101.01,4,0
370,b'Eddy Arnold',166.16444,11,,157.779,4,1967
371,b'All Time Low',221.67465,2,0.2707759989463275,91.483,4,2007
372,b'Brian Dullaghan',212.94975,10,,99.109,4,0
373,b'Richard Galliano',261.74649,9,0.34092275586437804,76.296,3,1999
374,b'Regina Belle',307.33016,7,,92.672,4,1993
375,b'Debbie Davies',225.67138,7,0.26586104921065007,116.984,4,1998
376,b'STEVE CAMP',296.14975,5,,139.07,4,0
377,b'Jay Tee & Baby Bash',203.67628,6,,98.983,4,0
378,b'The Stolen Minks',56.42404,2,0.0,123.695,4,0
379,b'Daath',230.86975,0,,97.151,4,2006
380,b'Extasick',134.03383,2,0.0,91.459,4,0
381,b'UFO',212.61016,7,,116.11,4,0
382,b'Avril - Remix By Ana Rago',188.39465,6,,85.282,3,2002
383,b'Pat Travers',152.99873,9,,140.872,4,0
384,b'SNOWPATROL',233.03791,0,,144.003,4,0
385,b'Die Fantastischen Vier',149.99465,9,,120.001,4,1991
386,b'Jeanie Lambe & The Danny Moss Quartet',152.0322,8,,168.558,4,0
387,b'Nelson Ned',200.48934,10,,146.061,4,0
388,b'Yung Joc',193.64526,4,0.30416950343527516,174.019,4,2007
389,b'Philippe Sarde',158.82404,2,,85.691,3,0
390,b'Orquesta Arag\xc3\xb3n',173.68771,7,,92.606,4,2003
391,b'Jason Miles',269.40036,0,,163.97,4,0
392,b'State of Chaos',176.90077,2,0.0,97.619,3,0
393,b'Dropkick Murphys',196.72771,9,0.5287824809425877,183.808,4,2002
394,b'Taint',281.46893,1,0.42512465831305757,92.044,3,2009
395,b'VHS Or Beta',224.20853,9,0.5249690553238349,126.806,4,2004
396,b'Leonard Kwan',170.31791,5,0.0,108.912,4,0
397,b'True Believers',361.53424,6,0.2555198043725864,160.731,4,0
398,"b""Les Hurlements D'leo""",182.04689,7,,104.307,3,1999
399,b'Charanga Forever',367.43791,1,0.0,203.964,5,2000
400,b'Zuzu Bollin',175.90812,10,,131.683,4,0
401,b'Bullet For My Valentine',215.53587,0,,188.924,4,2005
402,b'The Hit Factory',234.70975,7,,126.342,3,0
403,b'Terry Snyder',340.11383,10,0.52549711888017,112.097,4,0
404,b'Marcus Miller',280.13669,0,0.5033812362063191,125.147,4,1983
405,b'Beatnuts',170.52689,6,,87.634,4,0
406,b'Ayo',212.71465,0,0.0,128.689,4,2006
407,b'Kid Sister',277.2371,11,0.573019827988094,140.026,4,2009
408,b'Mons Leidvin Takle',120.92036,7,,147.576,1,0
409,b'Public Image Ltd',492.30322,9,0.6392484891503506,193.56,4,1985
410,b'Rise Against',260.8322,11,,122.006,4,2001
411,b'Sizzla',203.96363,7,,190.01,4,2005
412,b'Richard Galliano',309.65506,0,0.26695518627553855,111.663,4,0
413,b'Helen Love',81.97179,2,0.2998774882739778,100.76,4,1994
414,b'David Mingyue Liang',757.99465,2,0.0,163.67,4,0
415,b'Pursuit Of Happiness',196.49261,7,0.0,127.298,4,0
416,b'Bobby Hutcherson',352.57424,9,,95.633,1,0
417,b'Gregory Isaacs',221.83138,3,,160.011,3,0
418,b'The Pharcyde',11.59791,0,,38.233,4,2004
419,b'Azis',281.88689,0,0.40790171721807383,98.151,4,2006
420,b'Amy Winehouse',256.10404,10,,91.198,4,2003
421,b'George Lopez',345.23383,4,,75.467,5,2009
422,b'Les Hou-Lops',122.69669,2,,103.29,4,0
